Country,Year,LifeExpectancy,GDPperCapita,Population,SchoolEnrollment,InternetUsers,HealthExpenditure,LiteracyRate,GDPGrowth
"Hong Kong SAR, China",2001,81.41926829268293,25230.378091030372,6714300.0,100.90641784668,38.6714,,,0.5608816719381338
Cabo Verde,1995,63.691,1165.1383233193385,418104.0,,,,,14.21163624696338
Costa Rica,1993,76.315,2840.387064793974,3367434.0,,0.0815,,,7.097191239996874
Eritrea,2003,59.455,348.95032707774243,2493903.0,107.540420532227,,19.81480217,,-2.6555159248755444
West Bank and Gaza,2018,75.38,3562.3309427025574,4569087.0,96.5580534271123,64.4,324.02166748,97.2200012207031,1.2270773778270296
Turks and Caicos Islands,1994,71.575,,14344.0,116.356376647949,,,,
Azerbaijan,2018,73.016,4739.794312340805,9939771.0,99.7221014157127,79.8,180.03610229,,1.5004017069940971
"Middle East, North Africa, Afghanistan & Pakistan",1997,65.02205546197834,1954.532673533855,460864078.0,81.303466796875,,,58.0310401916504,4.135052671445649
Cabo Verde,2018,74.84,4294.965100357294,513415.0,105.84560911247,59.5,204.45397949,,3.706964583108416
Barbados,1991,73.543,7790.262294391589,259373.0,,,,,-3.899906912623905
Uzbekistan,2001,65.853,454.4158122567783,25090283.0,98.1144790649414,0.597568,30.46290398,,4.163838249988899
Qatar,1992,73.876,16280.293881527334,469657.0,,,,,11.3305277115916
"Micronesia, Fed. Sts.",2009,64.865,2596.261474475949,107957.0,,15.35,492.5491333,,1.0930992410524567
Sao Tome and Principe,1996,60.576,987.0487123952636,136962.0,134.562683105469,,,,1.5000010757065638
