Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Units,First Day of First Meter Entry,Last Day of Last Meter Entry
Orchard Park,34999923,190117275,AUTO_Orchard Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Oriole Park,34999924,190117292,AUTO_Oriole Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Osler Playground,34999925,190117318,AUTO_Osler Playground-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Otter Creek Centre,34999927,190117339,AUTO_Otter Creek Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Ourland Community Centre,34999245,190117341,AUTO_Ourland Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Ourland Community Centre,34999245,190117342,AUTO_Ourland Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Wedgewood Park Outdoor Pool,35000072,190117346,AUTO_Wedgewood Park Outdoor Pool-Natural Gas,Natural Gas,cm (cubic meters),2014-03-14 00:00:00,2024-11-01 00:00:00
Overlea & Thorncliffe (NW),35000737,190117352,AUTO_Overlea & Thorncliffe (NW)-Electric,Electric - Grid,kWh (thousand Watt-hours),2020-04-22 00:00:00,2024-10-01 00:00:00
Page Parkette,34999929,190117359,AUTO_Page Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-09-01 00:00:00,2024-11-01 00:00:00
Pam McConnell Aquatic Centre,34999468,190117365,AUTO_Pam McConnell Aquatic Centre-Natural Gas,Natural Gas,cm (cubic meters),2014-08-01 00:00:00,2024-10-01 00:00:00
Pam McConnell Aquatic Centre,34999468,190117366,AUTO_Pam McConnell Aquatic Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-10-01 00:00:00
Wellesley Community Centre,34999263,190117367,AUTO_Wellesley Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Wellesley Community Centre,34999263,190117368,AUTO_Wellesley Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-11-01 00:00:00
Pantry Park,34999930,190117373,AUTO_Pantry Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
West Acres Senior Centre,34999264,190117390,AUTO_West Acres Senior Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2018-12-01 00:00:00
West Acres Senior Centre,34999264,190117392,AUTO_West Acres Senior Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2018-12-01 00:00:00
Pape Subway Stn,35000739,190117414,AUTO_Pape Subway Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
West Animal Centre,34999174,190117415,AUTO_West Animal Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
West Animal Centre,34999174,190117417,AUTO_West Animal Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
West Deane Outdoor Pool,35000077,190117422,AUTO_West Deane Outdoor Pool-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
West Deane Outdoor Pool,35000077,190117423,AUTO_West Deane Outdoor Pool-Natural Gas,Natural Gas,cm (cubic meters),2014-02-12 00:00:00,2024-10-01 00:00:00
West Deane Park,35000079,190117428,AUTO_West Deane Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
West Humber Parkland,35000080,190117433,AUTO_West Humber Parkland-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Parkdale Pumping Station,35000830,190117437,AUTO_Parkdale Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
West Lodge Park,35000081,190117438,AUTO_West Lodge Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Parklawn Pool/Rink,34999931,190117442,AUTO_Parklawn Pool/Rink-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Parklawn Pool/Rink,34999931,190117443,AUTO_Parklawn Pool/Rink-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
West Mall Outdoor Rink,35000083,190117445,AUTO_West Mall Outdoor Rink-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
West Mall Outdoor Rink,35000083,190117446,AUTO_West Mall Outdoor Rink-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Parks Various Locations,34999932,190117447,AUTO_Parks Various Locations-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
West Point Sewage Pumping Station,35000423,190117449,AUTO_West Point Sewage Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Parkway Forest Park,34999933,190117451,AUTO_Parkway Forest Park-Natural Gas,Natural Gas,cm (cubic meters),2016-09-13 00:00:00,2024-10-01 00:00:00
Parkway Forest Park,34999933,190117452,AUTO_Parkway Forest Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
West Rouge Community Centre,34999265,190117453,AUTO_West Rouge Community Centre-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
West Rouge Community Centre,34999265,190117455,AUTO_West Rouge Community Centre-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
West Rouge Sewage Pumping Station,35000424,190117457,AUTO_West Rouge Sewage Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
West Scarborough N.C,34999266,190117459,AUTO_West Scarborough N.C-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
West Scarborough N.C,34999266,190117460,AUTO_West Scarborough N.C-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-11-01 00:00:00
West Toronto Pumping Station,35000837,190117467,AUTO_West Toronto Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
West Toronto Rail Path,35000084,190117468,AUTO_West Toronto Rail Path-Electric,Electric - Grid,kWh (thousand Watt-hours),2019-02-19 00:00:00,2024-11-01 00:00:00
Western Yard (Obico),35000537,190117470,AUTO_Western Yard (Obico)-Electric,Electric - Grid,kWh (thousand Watt-hours),2019-01-31 00:00:00,2024-01-01 00:00:00
Western Yard (Obico),35000537,190117471,AUTO_Western Yard (Obico)-Natural Gas,Natural Gas,cm (cubic meters),2019-02-02 00:00:00,2024-01-01 00:00:00
Westmount Outdoor Pool,35000086,190117482,AUTO_Westmount Outdoor Pool-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
Westmount Outdoor Pool,35000086,190117483,AUTO_Westmount Outdoor Pool-Natural Gas,Natural Gas,cm (cubic meters),2014-02-08 00:00:00,2024-10-01 00:00:00
Westmount Park,35000087,190117486,AUTO_Westmount Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2022-07-15 00:00:00
Perth Avenue Parkette,34999934,190117490,AUTO_Perth Avenue Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-01-07 00:00:00,2024-11-01 00:00:00
Weston Library,35000376,190117491,AUTO_Weston Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Weston Library,35000376,190117493,AUTO_Weston Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Weston Lions Park,35000088,190117495,AUTO_Weston Lions Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Westway Outdoor Rink,35000089,190117500,AUTO_Westway Outdoor Rink-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Westway Outdoor Rink,35000089,190117501,AUTO_Westway Outdoor Rink-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Westwood Park,35000090,190117502,AUTO_Westwood Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Perth Square Park,34999935,190117503,AUTO_Perth Square Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Wexford Park,35000091,190117505,AUTO_Wexford Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Pharmacy Yard,35000527,190117507,AUTO_Pharmacy Yard-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Pharmacy Yard,35000527,190117508,AUTO_Pharmacy Yard-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-11-01 00:00:00
Whitlam Warehouse,35000538,190117509,AUTO_Whitlam Warehouse-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Whitlam Warehouse,35000538,190117511,AUTO_Whitlam Warehouse-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Wigmore Park,35000092,190117514,AUTO_Wigmore Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Phin Ave Parkette,34999936,190117531,AUTO_Phin Ave Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Pine Point Park,34999937,190117543,AUTO_Pine Point Park-Natural Gas,Natural Gas,cm (cubic meters),Not Available,Not Available
Pine Point Park,34999937,190117544,AUTO_Pine Point Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Pine Point Pool,34999938,190117553,AUTO_Pine Point Pool-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Pine Point Pool,34999938,190117554,AUTO_Pine Point Pool-Natural Gas,Natural Gas,cm (cubic meters),2014-02-07 00:00:00,2024-01-01 00:00:00
Pioneer Village Stn,35000741,190117585,AUTO_Pioneer Village Stn-Electric,Electric - Grid,kWh (thousand Watt-hours),2017-11-30 00:00:00,2024-10-01 00:00:00
Playter Gardens,34999939,190117605,AUTO_Playter Gardens-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Pleasant Substation,35000742,190117607,AUTO_Pleasant Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
PMMD Materials Management & Stores,35000281,190117627,AUTO_PMMD Materials Management & Stores-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
PMMD Materials Management & Stores,35000281,190117629,AUTO_PMMD Materials Management & Stores-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
Police Garage,35000284,190117645,AUTO_Police Garage-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-09-01 00:00:00
Police Garage,35000284,190117647,AUTO_Police Garage-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-09-01 00:00:00
Police Headquarters,35000285,190117649,AUTO_Police Headquarters-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
Police Headquarters,35000285,190117650,AUTO_Police Headquarters-Chilled Water,District Chilled Water - Other,ton hours,2010-01-01 00:00:00,2024-10-01 00:00:00
Police Headquarters,35000285,190117651,AUTO_Police Headquarters-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Poplar Plains Parkette,34999941,190117666,AUTO_Poplar Plains Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Port Union Village Common Park,34999942,190117675,AUTO_Port Union Village Common Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Prescott Parkette,34999944,190117689,AUTO_Prescott Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Pricefield Road Playground,34999945,190117691,AUTO_Pricefield Road Playground-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Wilket Creek Park,35000093,190117693,AUTO_Wilket Creek Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
William Goodwin House,34999291,190117699,AUTO_William Goodwin House-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
William Goodwin House,34999291,190117700,AUTO_William Goodwin House-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Willowdale Lawn Bowling Club,34999267,190117705,AUTO_Willowdale Lawn Bowling Club-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Willowdale Lawn Bowling Club,34999267,190117706,AUTO_Willowdale Lawn Bowling Club-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Willowdale Park,35000094,190117710,AUTO_Willowdale Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Willowdale Park,35000094,190117712,AUTO_Willowdale Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Prince Of Wales Park,34999946,190117714,AUTO_Prince Of Wales Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Prince Of Wales Park,34999946,190117715,AUTO_Prince Of Wales Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Willowdale Park Tennis,35000095,190117720,AUTO_Willowdale Park Tennis-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Princess Park,34999947,190117729,AUTO_Princess Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Property Dept Workshop,34999127,190117732,AUTO_Property Dept Workshop-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
Property Dept Workshop,34999127,190117733,AUTO_Property Dept Workshop-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
Property Operation Garage,35000528,190117753,AUTO_Property Operation Garage-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-04-01 00:00:00
Property Operation Garage,35000528,190117754,AUTO_Property Operation Garage-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-04-01 00:00:00
Public Order,35000289,190117762,AUTO_Public Order-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2023-01-17 00:00:00
Public Order,35000289,190117764,AUTO_Public Order-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2017-07-31 00:00:00
Queen St W Subway Station,35000744,190117767,AUTO_Queen St W Subway Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Queen's Park,34999948,190117768,AUTO_Queen's Park-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
Winchester Field,35000096,190117772,AUTO_Winchester Field-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Winchester Park,35000097,190117774,AUTO_Winchester Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Winchester Square Park,35000098,190117775,AUTO_Winchester Square Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Wirral Crt Sewage Pumping Station,35000425,190117781,AUTO_Wirral Crt Sewage Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Wishing Well Park,35000099,190117784,AUTO_Wishing Well Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Withrow Park,35000100,190117786,AUTO_Withrow Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Withrow Park,35000100,190117787,AUTO_Withrow Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Withrow Park Ice Rink,35000101,190117794,AUTO_Withrow Park Ice Rink-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2015-10-24 00:00:00
Withrow Park Ice Rink,35000101,190117795,AUTO_Withrow Park Ice Rink-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Woburn Park,35000103,190117798,AUTO_Woburn Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Women's Residence,35000460,190117818,AUTO_Women's Residence-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Women's Residence,35000460,190117819,AUTO_Women's Residence-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Woodbine Beach Park,35000104,190117820,AUTO_Woodbine Beach Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Woodbine Park,35000105,190117826,AUTO_Woodbine Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2020-03-26 00:00:00
Woodbine Park,35000105,190117827,AUTO_Woodbine Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Woodview Park Library,35000378,190117836,AUTO_Woodview Park Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Woodview Park Library,35000378,190117838,AUTO_Woodview Park Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
York Civic Center,34999140,190117915,AUTO_York Civic Center-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
York Civic Center,34999140,190117916,AUTO_York Civic Center-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
York Humber Employment & Social Services,34999141,190117917,AUTO_York Humber Employment & Social Services-Electric,Electric - Grid,kWh (thousand Watt-hours),2017-12-01 00:00:00,2024-01-01 00:00:00
York Mills Arena,34999447,190117923,AUTO_York Mills Arena-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
York Mills Arena,34999447,190117924,AUTO_York Mills Arena-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
York Mills Valley Park,35000106,190117944,AUTO_York Mills Valley Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Yorkdale Park,35000107,190117955,AUTO_Yorkdale Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2021-01-20 00:00:00,2024-10-01 00:00:00
YWCA Women's Shelter,35000461,190117983,AUTO_YWCA Women's Shelter-Natural Gas,Natural Gas,cm (cubic meters),2018-01-09 00:00:00,2024-10-01 00:00:00
YWCA Women's Shelter,35000461,190117984,AUTO_YWCA Women's Shelter-Electric,Electric - Grid,kWh (thousand Watt-hours),2018-01-11 00:00:00,2024-10-01 00:00:00
Zion Methodist Church,34999292,190117993,AUTO_Zion Methodist Church-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2020-01-16 00:00:00
Zion Methodist Church,34999292,190117994,AUTO_Zion Methodist Church-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2020-02-05 00:00:00
Zooview Park,35000108,190118028,AUTO_Zooview Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Queens Quay Ferry Docks Terminal,35000746,190130630,AUTO_Queens Quay Ferry Docks Terminal-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Queensway Garage & Shop,35000747,190130705,AUTO_Queensway Garage & Shop-Natural Gas,Natural Gas,cm (cubic meters),2011-05-08 00:00:00,2024-11-01 00:00:00
Queensway Garage & Shop,35000747,190130706,AUTO_Queensway Garage & Shop-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Queensway Park,34999949,190130709,AUTO_Queensway Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Queensway Park,34999949,190130710,AUTO_Queensway Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
R.C. Harris Water Treatment Plant,35000840,190130712,AUTO_R.C. Harris Water Treatment Plant-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-11-01 00:00:00
R.C. Harris Water Treatment Plant,35000840,190130713,AUTO_R.C. Harris Water Treatment Plant-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Ramsden Park,34999951,190130741,AUTO_Ramsden Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Ramsden Park,34999951,190130742,AUTO_Ramsden Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Regan Park,34999957,190130772,AUTO_Regan Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-01-24 00:00:00,2024-11-01 00:00:00
Richmond Gardens Pool (outdoor),34999961,190130825,AUTO_Richmond Gardens Pool (outdoor)-Natural Gas,Natural Gas,cm (cubic meters),2014-08-11 00:00:00,2024-01-01 00:00:00
Richmond Gardens Pool (outdoor),34999961,190130826,AUTO_Richmond Gardens Pool (outdoor)-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Richmond Substation,35000748,190130832,AUTO_Richmond Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Ridge Park,34999963,190130842,AUTO_Ridge Park-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
Rivercrest Rink,34999964,190130850,AUTO_Rivercrest Rink-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Riverdale Farm,34999282,190130851,AUTO_Riverdale Farm-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Riverdale Farm,34999282,190130853,AUTO_Riverdale Farm-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Riverdale Park East,34999965,190130855,AUTO_Riverdale Park East-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Riverdale Park East,34999965,190130856,AUTO_Riverdale Park East-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Riverdale Park West,34999966,190130858,AUTO_Riverdale Park West-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Riverdale Park West,34999966,190130859,AUTO_Riverdale Park West-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-10-01 00:00:00
Riverside Sewage Pumping Station,35000412,190130888,AUTO_Riverside Sewage Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2021-05-01 00:00:00
Robertson Parkette,34999967,190130899,AUTO_Robertson Parkette-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
Roncesvalles Substation,35000750,190130915,AUTO_Roncesvalles Substation-Natural Gas,Natural Gas,cm (cubic meters),2011-05-08 00:00:00,2024-11-01 00:00:00
Roncesvalles Substation,35000750,190130916,AUTO_Roncesvalles Substation-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
Rose Garden Park,34999968,190130917,AUTO_Rose Garden Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2015-05-29 00:00:00,2024-10-01 00:00:00
Rosedale Park,34999969,190130925,AUTO_Rosedale Park-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Rosedale Park,34999969,190130926,AUTO_Rosedale Park-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Kingston Rd Sewage Pumping Station,35000399,190131202,Kingston Rd Sewage Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
Long Branch Sewage Pumping Station,35000401,190131204,Long Branch Sewage Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
Martin Grove Sewage Pumping Station,35000403,190131206,Martin Grove Sewage Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
Midland Sewage Pumping Station,35000404,190131207,Midland Sewage Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
New Toronto Pumping Station,35000407,190131210,New Toronto Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
Riverside Sewage Pumping Station,35000412,190131215,Riverside Sewage Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
Sewells Rd Sewage Pumping Station,35000414,190131217,Sewells Rd Sewage Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
Strachan Sewage Pumping Station,35000417,190131220,Strachan Sewage Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
Valleymede Sewage Pumping Stn,35000420,190131223,Valleymede Sewage Pumping Stn Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
Ward's Island Sewage Pumping Station,35000421,190131224,Ward's Island Sewage Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
Warren Park Sewage Pumping Station,35000422,190131225,Warren Park Sewage Pumping Station Flow,Average Influent Flow,Cubic Meters per Day,2011-01-01 00:00:00,2023-12-31 00:00:00
